,player_id,full_name,status,team,position
1749,1749,Jake Stoneburner,Inactive,,TE
4758,4758,Brett Veach,Inactive,,
8361,8361,Damarion Williams,Active,SEA,DB
3054,3054,Tyreek Burwell,Inactive,,T
2320,2320,Melvin Gordon,Active,,RB
11037,11037,Cory Trice,Active,PIT,CB
1100,1100,Jared Crick,Inactive,,DE
1895,1895,AJ McCarron,Active,,QB
11906,11906,Ty James,Active,,WR
5040,5040,Tarvarius Moore,Active,CHI,DB
2496,2496,Malcolm Johnson,Active,,FB
3876,3876,Michael Wakefield,Inactive,,OLB
7144,7144,Clay Johnston,Active,,LB
3728,3728,Brian Price,Injured Reserve,,DT
6581,6581,Derick Roberson,Active,,LB
4712,4712,Johnny Ragin,Active,,ILB
1660,1660,Brynden Trawick,Active,,FS
287,287,Brad Smith,Inactive,,WR
7258,7258,Luke Sellers,Inactive,,FB
3040,3040,David Irving,Inactive,,DE
12028,12028,TaMerik Williams,Active,,RB
521,521,Jeff Cumberland,Inactive,,TE
7399,7399,Bejour Wilson,Active,,CB
1279,1279,Orie Lemon,Inactive,,LB
4379,4379,Geoff Gray,Inactive,,G
1991,1991,Rashaad Reynolds,Active,,CB
11512,11512,Tyrus Wheat,Active,DAL,DE
3488,3488,D.J. Foster,Inactive,,RB
11044,11044,Nick Broeker,Active,HOU,OL
630,630,Phillip Adams,Inactive,,CB
5557,5557,Emmanuel Beal,Active,,ILB
4909,4909,Duce Staley,Inactive,,RB
1412,1412,Shamarko Thomas,Inactive,,SS
3697,3697,Kyle Rose,Inactive,,NT
4281,4281,Josh Carraway,Inactive,,OLB
12244,12244,DeAngelo Hardy,Active,,WR
7497,7497,Kamaal Seymour,Active,,OT
489,489,Jamon Meredith,Inactive,,T
1387,1387,Rex Burkhead,Active,,RB
3759,3759,Gabe Hughes,Inactive,,TE
8030,8030,Emmanuel Rugamba,Active,,CB
5832,5832,Mercy Maston,Active,,CB
11122,11122,Andrew Farmer,Active,DEN,LB
6559,6559,Tanner Volson,Active,,C
7386,7386,Malcolm Elmore,Active,,DB
7553,7553,Kyle Pitts,Active,ATL,TE
5143,5143,Demario Richard,Active,,RB
5308,5308,Duplicate Player,Inactive,LAR,DE
1172,1172,Don Barclay,Inactive,,G
5617,5617,Austin Barnard,Active,,P
5664,5664,Trent Harris,Active,,LB
2874,2874,Leon Mackey,Inactive,,DE
4065,4065,Derek Barnett,Active,HOU,DE
7501,7501,Evan Foster,Inactive,,S
8410,8410,Jequez Ezzard,Active,,WR
5845,5845,Dwayne Haskins,Active,PIT,QB
2025,2025,Albert Wilson,Active,,WR
5838,5838,Phillip Andersen,Active,,K
12300,12300,Joshua Lingenfelter,Active,,TE
767,767,Chris Baker,Inactive,,DT
8645,8645,Benjie Franklin,Active,,CB
1523,1523,Josh Boyd,Inactive,,DT
11134,11134,Kaleb Hayes,Active,,CB
11304,11304,E.J. Jenkins,Active,PHI,TE
8502,8502,Cade Mays,Active,CAR,OL
10940,10940,Nick Herbig,Active,PIT,LB
5534,5534,Elijah Campbell,Active,MIA,DB
4746,4746,Ryan Reid,Active,,CB
7970,7970,Ar'Darius Washington,Active,BAL,DB
19,19,Joe Flacco,Active,IND,QB
12329,12329,Cade Beresford,Active,,OL
5296,5296,Elijah Wellman,Active,,FB
7782,7782,Isaiah McDuffie,Active,GB,LB
2782,2782,Niko Davis,Inactive,,DE
12301,12301,Treylen Brown,Active,,C
11279,11279,Chim Okorafor,Active,,OT
4216,4216,Desmond King,Active,BAL,DB
2160,2160,Zac Kerin,Inactive,,G
4363,4363,Demetrious Cox,Inactive,,SS
3837,3837,Kenneth Durden,Inactive,,CB
10941,10941,Tyler Lacy,Active,JAX,DE
11756,11756,Hunter Nourzad,Active,KC,OL
3466,3466,Andrew Williamson,Active,,SS
1009,1009,Bryan Walters,Injured Reserve,,WR
10970,10970,Henry To'oTo'o,Active,HOU,LB
8609,8609,Hauati Pututau,Active,,DT
2678,2678,Ray Drew,Inactive,,DE
3865,3865,Chris Edwards,Inactive,,DB
4553,4553,Dieugot Joseph,Inactive,,OT
3053,3053,Shane McDermott,Inactive,,G
1524,1524,Kevin Dorsey,Inactive,,WR
1250,1250,Will Johnson,Inactive,,TE
11129,11129,Nic Melsop,Inactive,,T
7246,7246,Drake Dorbeck,Active,,T
2519,2519,Neal Sterling,Inactive,,TE
6624,6624,Joshua Simmons,Active,,CB
2721,2721,Chris Harper,Inactive,,WR
6459,6459,Sean Modster,Active,,WR
12264,12264,Cole Beck,Active,,WR
2735,2735,Thurston Armbrister,Inactive,,LB
801,801,Charles Clay,Active,,TE
4911,4911,Quinton Schooley,Active,,C
4275,4275,Justin Senior,Active,,OT
306,306,DeAngelo Williams,Inactive,,RB
3484,3484,Nelson Spruce,Inactive,,WR
2676,2676,Zach Vigil,Inactive,,LB
6374,6374,Drew Belcher,Active,,TE
4054,4054,Mo Alie-Cox,Active,IND,TE
1450,1450,Ace Sanders,Inactive,,WR
1966,1966,Ryan Lankford,Inactive,,WR
7944,7944,Michael Strachan,Active,,WR
11319,11319,Truman Jones,Active,NE,DE
219,219,Mario Williams,Inactive,,DE
2919,2919,Tyler McDonald,Inactive,,WR
7740,7740,Kobe Jones,Active,,LB
1550,1550,Ryan Griffin,Active,,QB
4969,4969,Vita Vea,Active,TB,DT
623,623,Rodger Saffold,Active,,G
557,557,Perrish Cox,Inactive,,CB
11794,11794,Micah Abraham,Active,CIN,CB
6930,6930,Trystan Colon,Active,ARI,C
3423,3423,Robbie Chosen,Active,,WR
3175,3175,Jack Conklin,Active,CLE,OT
1897,1897,Nikita Whitlock,Inactive,,FB
12121,12121,Deshaun Fenwick,Active,GB,RB
3723,3723,Josh James,Active,,G
1282,1282,Ryan Davis,Injured Reserve,,DE
406,406,John Phillips,Inactive,,TE
3496,3496,Stephen Anderson,Active,,TE
1,1,GJ Kinne,Inactive,,QB
4813,4813,Marvin Bracy,Active,,WR
11365,11365,Tyreque Jones,Active,,DB
1800,1800,Jordan Matthews,Active,CAR,TE
7795,7795,Rodarius Williams,Active,,CB
5907,5907,Vosean Joseph,Inactive,,OLB
6702,6702,Andrew Jacas,Inactive,,K
2780,2780,Ian Wild,Inactive,,S
591,591,Major Wright,Inactive,,SS
4833,4833,Connor Bozick,Active,,G
833,833,Jordan Cameron,Inactive,,TE
7964,7964,Leighton McCarthy,Inactive,,LB
7634,7634,Jamin Davis,Active,NYJ,LB
7846,7846,Caleb Johnson,Active,JAX,LB
4209,4209,Danny Isidora,Active,,OL
2537,2537,Mario Alford,Inactive,,WR
3953,3953,Austin Trainor,Inactive,,QB
12258,12258,Buddha Jones,Inactive,,NT
5100,5100,Jordan Wilkins,Active,,RB
7938,7938,Hunter Kampmoyer,Active,,TE
